epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1188.65,0.68856,0.40779,0.91849,0.95241,0.89,0.95361,0.58288,1.32936,0.97264,1.16346,0.0009209,0.0009209,0.0009209
111,1197.69,0.70677,0.41612,0.93076,0.94431,0.84778,0.93436,0.53722,1.56809,0.88976,1.2464,0.000911,0.000911,0.000911
112,1210.69,0.70774,0.4242,0.92981,0.92126,0.91,0.95308,0.58334,1.32098,0.84414,1.16993,0.0009011,0.0009011,0.0009011
113,1219.13,0.67565,0.4103,0.93137,0.96345,0.86,0.94783,0.58246,1.3985,0.89854,1.17296,0.0008912,0.0008912,0.0008912
114,1230.91,0.6782,0.41076,0.91338,0.92494,0.86261,0.94183,0.56524,1.37239,1.06582,1.17799,0.0008813,0.0008813,0.0008813
115,1240.75,0.657,0.39759,0.91761,0.9863,0.86,0.93946,0.56662,1.4899,0.97072,1.19921,0.0008714,0.0008714,0.0008714
116,1250.42,0.70048,0.40829,0.92428,0.95469,0.85,0.94265,0.578,1.36775,1.11049,1.15103,0.0008615,0.0008615,0.0008615
117,1262.28,0.66246,0.41193,0.91188,0.92595,0.92,0.95486,0.58965,1.37287,1.02072,1.161,0.0008516,0.0008516,0.0008516
118,1271.37,0.65141,0.39747,0.90424,0.94862,0.84,0.93875,0.56381,1.43751,1.25697,1.20274,0.0008417,0.0008417,0.0008417
119,1283.9,0.66337,0.40495,0.91546,0.94561,0.86923,0.93286,0.56367,1.44175,1.06697,1.19443,0.0008318,0.0008318,0.0008318
120,1292.06,0.66067,0.39756,0.90771,0.92143,0.88,0.94581,0.5802,1.38155,0.92292,1.17224,0.0008219,0.0008219,0.0008219
121,1306.09,0.64777,0.39743,0.91265,0.95528,0.85441,0.94134,0.58353,1.42711,0.93446,1.18392,0.000812,0.000812,0.000812
122,1314.31,0.67343,0.4112,0.92031,0.96663,0.86895,0.93724,0.56979,1.46132,1.06093,1.19669,0.0008021,0.0008021,0.0008021
123,1326.62,0.67042,0.39779,0.89959,0.97859,0.88,0.96272,0.59082,1.34809,0.78315,1.15296,0.0007922,0.0007922,0.0007922
124,1336.03,0.63797,0.38566,0.90387,0.97742,0.86592,0.96425,0.57688,1.53594,0.81194,1.21407,0.0007823,0.0007823,0.0007823
125,1346.58,0.63398,0.3838,0.91002,0.94621,0.86,0.94298,0.56107,1.46382,0.86141,1.18816,0.0007724,0.0007724,0.0007724
126,1357.58,0.63746,0.38453,0.90642,0.9366,0.88633,0.9339,0.56893,1.34023,0.95996,1.18911,0.0007625,0.0007625,0.0007625
127,1366.76,0.66455,0.39047,0.90842,0.95491,0.88,0.93579,0.55106,1.33228,0.85994,1.19546,0.0007526,0.0007526,0.0007526
128,1379.96,0.62804,0.39941,0.90366,0.89145,0.90339,0.94601,0.55687,1.31607,0.79016,1.1717,0.0007427,0.0007427,0.0007427
129,1388.13,0.67898,0.40058,0.91787,0.96697,0.87833,0.95086,0.57381,1.37001,0.93473,1.15572,0.0007328,0.0007328,0.0007328
130,1401.83,0.66153,0.39862,0.91061,0.97547,0.89,0.95607,0.58624,1.37968,1.1084,1.17791,0.0007229,0.0007229,0.0007229
131,1410.15,0.65353,0.39313,0.90675,0.94831,0.93,0.96071,0.57142,1.37651,0.81034,1.16885,0.000713,0.000713,0.000713
132,1422.37,0.63355,0.38566,0.89834,0.92655,0.91,0.95133,0.57155,1.39583,0.75086,1.19599,0.0007031,0.0007031,0.0007031
133,1432.07,0.61922,0.3816,0.90432,0.9257,0.89,0.94932,0.56967,1.35868,0.75025,1.21065,0.0006932,0.0006932,0.0006932
134,1442.07,0.60734,0.38228,0.89181,0.97533,0.89,0.95066,0.58384,1.29001,0.73594,1.17259,0.0006833,0.0006833,0.0006833
135,1454.06,0.6344,0.37459,0.8998,0.94578,0.87227,0.94856,0.57534,1.3276,0.83795,1.17732,0.0006734,0.0006734,0.0006734
136,1462.65,0.63794,0.38565,0.91207,0.86743,0.87,0.92973,0.54104,1.3377,0.94555,1.19206,0.0006635,0.0006635,0.0006635
137,1476.1,0.63361,0.37928,0.90779,0.96821,0.87,0.95305,0.58843,1.32939,0.99821,1.16124,0.0006536,0.0006536,0.0006536
138,1484.11,0.64079,0.36861,0.92415,0.95678,0.88543,0.94367,0.59895,1.34703,0.94369,1.17063,0.0006437,0.0006437,0.0006437
139,1496.97,0.61879,0.37504,0.90191,0.96697,0.87832,0.94385,0.59147,1.36094,0.91328,1.17101,0.0006338,0.0006338,0.0006338
140,1506.21,0.62074,0.37085,0.90551,0.947,0.89343,0.95491,0.59276,1.31168,0.88349,1.15945,0.0006239,0.0006239,0.0006239
141,1517.29,0.60121,0.35759,0.88895,0.94344,0.89,0.94377,0.58454,1.35361,0.87618,1.17185,0.000614,0.000614,0.000614
142,1528,0.6047,0.36868,0.89482,0.95599,0.86893,0.94516,0.58284,1.40266,0.95341,1.17598,0.0006041,0.0006041,0.0006041
143,1538.06,0.59751,0.36635,0.87684,0.92715,0.89083,0.95577,0.60111,1.35889,0.81681,1.15128,0.0005942,0.0005942,0.0005942
144,1549.49,0.61778,0.37389,0.89016,0.94781,0.90811,0.95398,0.6043,1.33396,0.81051,1.15219,0.0005843,0.0005843,0.0005843
145,1558.66,0.59321,0.36185,0.88986,0.94512,0.86113,0.93579,0.58875,1.32389,0.81563,1.1799,0.0005744,0.0005744,0.0005744
146,1571.91,0.60812,0.36349,0.90193,0.92672,0.88533,0.9375,0.57947,1.37607,0.81906,1.1907,0.0005645,0.0005645,0.0005645
147,1580.22,0.61544,0.37639,0.90004,0.90617,0.89,0.93463,0.59222,1.35128,0.86044,1.14616,0.0005546,0.0005546,0.0005546
148,1593.61,0.60298,0.36232,0.88911,0.978,0.88916,0.95129,0.59987,1.37245,0.77368,1.15962,0.0005447,0.0005447,0.0005447
149,1602.18,0.60664,0.37319,0.90625,0.93903,0.9241,0.94786,0.59243,1.34302,0.71382,1.15164,0.0005348,0.0005348,0.0005348
150,1613.71,0.59541,0.35844,0.89554,0.96037,0.87,0.94266,0.58402,1.329,0.85801,1.16139,0.0005249,0.0005249,0.0005249
151,1623.84,0.58554,0.35226,0.89583,0.96548,0.87,0.94656,0.58634,1.3848,0.82493,1.17976,0.000515,0.000515,0.000515
152,1633.86,0.56292,0.34573,0.88402,0.9262,0.88,0.94346,0.57918,1.3264,0.83575,1.15923,0.0005051,0.0005051,0.0005051
153,1646,0.55574,0.3437,0.88462,0.91775,0.89271,0.95046,0.5861,1.34046,0.80265,1.15448,0.0004952,0.0004952,0.0004952
