epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,3060.71,0.73105,0.41125,0.93201,0.94659,0.93,0.95492,0.61425,1.35489,0.711,1.16443,0.0003566,0.0003566,0.0003566
168,3077.46,0.70641,0.40065,0.90772,0.95828,0.91876,0.96295,0.62097,1.31439,0.7703,1.16057,0.0003467,0.0003467,0.0003467
169,3094.83,0.69387,0.39173,0.91474,0.95868,0.92817,0.9609,0.62095,1.26684,0.67534,1.13265,0.0003368,0.0003368,0.0003368
170,3111.57,0.6895,0.3866,0.91481,0.95828,0.91876,0.96003,0.61751,1.30396,0.68349,1.15367,0.0003269,0.0003269,0.0003269
171,3128.37,0.7035,0.38993,0.90826,0.94889,0.92825,0.95971,0.62868,1.20172,0.61079,1.1052,0.000317,0.000317,0.000317
172,3145.25,0.70068,0.40443,0.92312,0.95707,0.92,0.95651,0.63679,1.22931,0.62152,1.12069,0.0003071,0.0003071,0.0003071
173,3162.15,0.67895,0.37771,0.90876,0.95957,0.92,0.95459,0.63364,1.28466,0.71071,1.15484,0.0002972,0.0002972,0.0002972
174,3179.29,0.68331,0.39067,0.90637,0.95911,0.93835,0.95563,0.63031,1.29901,0.70006,1.15048,0.0002873,0.0002873,0.0002873
175,3196.72,0.71334,0.39452,0.9177,0.94766,0.94,0.96108,0.6344,1.22738,0.6523,1.12414,0.0002774,0.0002774,0.0002774
176,3214.4,0.68649,0.37883,0.92004,0.95754,0.94,0.95839,0.6346,1.28955,0.76219,1.13721,0.0002675,0.0002675,0.0002675
177,3231.98,0.69704,0.39917,0.91651,0.95902,0.93622,0.95412,0.61844,1.23574,0.69599,1.12961,0.0002576,0.0002576,0.0002576
178,3249.71,0.68073,0.38614,0.90999,0.93829,0.91238,0.94808,0.62276,1.23922,0.73664,1.11519,0.0002477,0.0002477,0.0002477
179,3266.87,0.66363,0.37653,0.90757,0.95564,0.92,0.95103,0.61312,1.24332,0.72829,1.12721,0.0002378,0.0002378,0.0002378
180,3284.3,0.67835,0.38344,0.91396,0.93997,0.93945,0.95338,0.61271,1.27124,0.68759,1.15528,0.0002279,0.0002279,0.0002279
181,3301.4,0.64523,0.37198,0.90559,0.95815,0.91592,0.95531,0.61415,1.27103,0.74733,1.13643,0.000218,0.000218,0.000218
182,3318.54,0.66408,0.37338,0.90836,0.94508,0.92,0.95804,0.62778,1.24228,0.67049,1.12236,0.0002081,0.0002081,0.0002081
183,3335.47,0.65966,0.37161,0.90447,0.95822,0.91732,0.9495,0.61804,1.27054,0.69657,1.13403,0.0001982,0.0001982,0.0001982
