epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1177.99,0.69519,0.43039,0.93487,0.9506,0.88,0.96068,0.57223,1.45134,0.74248,1.17439,0.0010298,0.0010298,0.0010298
100,1188.09,0.68707,0.41856,0.92422,0.91873,0.90435,0.95324,0.56597,1.40976,0.72549,1.16877,0.0010199,0.0010199,0.0010199
101,1201.04,0.71357,0.42442,0.93449,0.93502,0.89,0.9491,0.56544,1.41997,0.68303,1.1642,0.00101,0.00101,0.00101
102,1211.31,0.70814,0.43268,0.93476,0.91843,0.88,0.95218,0.58081,1.38814,0.68214,1.17681,0.0010001,0.0010001,0.0010001
103,1224.02,0.68109,0.42102,0.9187,0.94574,0.87149,0.95147,0.58748,1.37623,0.68864,1.16229,0.0009902,0.0009902,0.0009902
104,1234.46,0.7031,0.41496,0.9257,0.94342,0.88,0.95325,0.57993,1.31732,0.70661,1.14118,0.0009803,0.0009803,0.0009803
105,1246.97,0.68374,0.41212,0.92265,0.97312,0.89,0.96141,0.59914,1.32489,0.64983,1.14057,0.0009704,0.0009704,0.0009704
106,1257.71,0.72928,0.42588,0.92184,0.92453,0.89,0.92842,0.55652,1.40661,0.71308,1.19793,0.0009605,0.0009605,0.0009605
107,1270.77,0.68104,0.41265,0.91669,0.9157,0.9,0.91944,0.53351,1.41307,0.75938,1.20207,0.0009506,0.0009506,0.0009506
108,1280.45,0.70413,0.41784,0.93011,0.95339,0.83,0.92608,0.56497,1.34384,0.74281,1.16658,0.0009407,0.0009407,0.0009407
109,1294.15,0.68685,0.42148,0.921,0.94051,0.88,0.94095,0.57645,1.38166,0.68049,1.16188,0.0009308,0.0009308,0.0009308
110,1303.96,0.64501,0.39195,0.9134,0.94926,0.89,0.96504,0.59338,1.37952,0.6423,1.17215,0.0009209,0.0009209,0.0009209
111,1317.3,0.67655,0.4186,0.92685,0.95039,0.85,0.93387,0.56378,1.3851,0.72573,1.16607,0.000911,0.000911,0.000911
112,1326.79,0.67469,0.41305,0.92654,0.97795,0.88698,0.95015,0.59258,1.36026,0.62308,1.16034,0.0009011,0.0009011,0.0009011
